Fecha,Hora,Temperatura,Humedad_relativa,Humedad_Suelo,ADT,Ks,ETr,Etiqueta
28/06/2021,13:00:00,20,71,12.42,260.683,1.01,18.25714286,No
28/06/2021,13:30:00,20,71,12.6,264.283,1.01,18.25714286,No
28/06/2021,14:00:00,21,69,12.6,267.87,0.99,17.74285714,Si
28/06/2021,14:30:00,20,70,12.6,264.11,1,18,No
28/06/2021,15:00:00,20,70,12.6,264.11,1,18,No
28/06/2021,15:30:00,20,70,12.6,264.11,1,18,No
28/06/2021,16:00:00,20,71,12.6,264.283,1.01,18.25714286,No
28/06/2021,16:30:00,20,71,12.6,264.283,1.01,18.25714286,No
28/06/2021,17:00:00,20,71,12.78,267.883,1.01,18.25714286,No
28/06/2021,17:30:00,20,71,12.78,267.883,1.01,18.25714286,No
28/06/2021,18:00:00,20,72,12.78,268.056,1.03,18.51428571,No
28/06/2021,18:30:00,20,70,12.78,267.71,1,18,No
28/06/2021,19:00:00,20,70,12.96,271.31,1,18,No
28/06/2021,19:30:00,20,70,12.78,267.71,1,18,No
28/06/2021,20:00:00,20,70,12.78,267.71,1,18,No
28/06/2021,20:30:00,20,71,12.78,267.883,1.01,18.25714286,No
28/06/2021,21:00:00,20,71,12.6,264.283,1.01,18.25714286,No
28/06/2021,21:30:00,20,71,12.78,267.883,1.01,18.25714286,No
28/06/2021,22:00:00,20,71,12.78,267.883,1.01,18.25714286,No
28/06/2021,22:30:00,20,71,12.6,264.283,1.01,18.25714286,No
28/06/2021,23:00:00,20,71,12.78,267.883,1.01,18.25714286,No
28/06/2021,23:30:00,20,70,12.6,264.11,1,18,No
29/06/2021,00:00:00,20,70,12.6,264.11,1,18,No
29/06/2021,00:30:00,20,71,12.6,264.283,1.01,18.25714286,No
29/06/2021,01:00:00,20,71,12.78,267.883,1.01,18.25714286,No
29/06/2021,01:30:00,20,71,12.78,267.883,1.01,18.25714286,No
29/06/2021,02:00:00,20,71,12.78,267.883,1.01,18.25714286,No
29/06/2021,02:30:00,20,70,12.6,264.11,1,18,No
29/06/2021,03:00:00,20,70,12.78,267.71,1,18,No
29/06/2021,03:30:00,20,70,12.78,267.71,1,18,No
29/06/2021,04:00:00,20,70,12.6,264.11,1,18,No
29/06/2021,04:30:00,20,70,12.6,264.11,1,18,No
29/06/2021,05:00:00,20,69,12.6,263.937,0.99,17.74285714,Si
29/06/2021,05:30:00,20,69,12.42,260.337,0.99,17.74285714,Si
